stt,hazard-category,product-category,hazard,product
459,organoleptic aspects,"meat, egg and dairy products",salmonella,chicken based products
460,chemical,"meat, egg and dairy products",listeria monocytogenes,ice cream
461,allergens,"meat, egg and dairy products",soybeans and products thereof,chicken based products
462,biological,fruits and vegetables,escherichia coli,flour
463,foreign bodies,cereals and bakery products,glass fragment,cakes
464,biological,"meat, egg and dairy products",listeria monocytogenes,pork sausage
465,biological,fruits and vegetables,listeria monocytogenes,chicken based products
466,chemical,fruits and vegetables,other,ice cream
467,allergens,"cocoa and cocoa preparations, coffee and tea",milk and products thereof,cakes
468,allergens,fruits and vegetables,milk and products thereof,salads
469,allergens,"dietetic foods, food supplements, fortified foods",cereals containing gluten and products thereof,chicken based products
470,biological,"meat, egg and dairy products",listeria monocytogenes,sausage
471,allergens,"meat, egg and dairy products",soybeans and products thereof,pork sausage
472,allergens,"cocoa and cocoa preparations, coffee and tea",milk and products thereof,cookies
473,allergens,seafood,peanuts and products thereof,cookies
474,allergens,fruits and vegetables,cereals containing gluten and products thereof,cakes
475,foreign bodies,"meat, egg and dairy products",plastic fragment,ground beef
476,allergens,cereals and bakery products,milk and products thereof,cookies
477,allergens,fruits and vegetables,milk and products thereof,soup
478,allergens,cereals and bakery products,peanuts and products thereof,cookies
479,biological,"meat, egg and dairy products",escherichia coli,ground beef
480,allergens,prepared dishes and snacks,eggs and products thereof,sandwiches
481,biological,seafood,clostridium botulinum,Fishes not identified
482,biological,fruits and vegetables,escherichia coli,ice cream
483,allergens,"nuts, nut products and seeds",milk and products thereof,ready to eat - cook meals
484,biological,seafood,listeria monocytogenes,ready to eat - cook meals
485,biological,"meat, egg and dairy products",listeria monocytogenes,chicken based products
486,allergens,"nuts, nut products and seeds",milk and products thereof,dark chocolates
487,allergens,prepared dishes and snacks,sulphur dioxide and sulphites,cakes
488,other hazard,"meat, egg and dairy products",listeria monocytogenes,beef
489,allergens,cereals and bakery products,cereals containing gluten and products thereof,cakes
490,foreign bodies,"dietetic foods, food supplements, fortified foods",plastic fragment,ice cream
491,allergens,"meat, egg and dairy products",soybeans and products thereof,other not classified meat products
492,foreign bodies,alcoholic beverages,salmonella,beer
493,biological,"meat, egg and dairy products",salmonella,infant formula
494,allergens,seafood,eggs and products thereof,shrimps
495,biological,"meat, egg and dairy products",listeria monocytogenes,cheese
496,biological,fruits and vegetables,listeria monocytogenes,salads
497,biological,prepared dishes and snacks,listeria monocytogenes,sandwiches
498,packaging defect,alcoholic beverages,listeria monocytogenes,cakes
499,biological,cereals and bakery products,listeria monocytogenes,biscuits
500,allergens,"cocoa and cocoa preparations, coffee and tea",milk and products thereof,cookies
501,biological,herbs and spices,salmonella,sesame seeds
502,biological,"meat, egg and dairy products",listeria monocytogenes,ice cream
503,chemical,"meat, egg and dairy products",milk and products thereof,ice cream
504,allergens,ices and desserts,milk and products thereof,desserts
505,foreign bodies,cereals and bakery products,metal fragment,ice cream
506,allergens,"soups, broths, sauces and condiments",eggs and products thereof,ready to eat - cook meals
507,allergens,"meat, egg and dairy products",milk and products thereof,chicken based products
508,allergens,prepared dishes and snacks,soybeans and products thereof,thermal processed pork meat
509,biological,"meat, egg and dairy products",salmonella,chicken based products
510,allergens,fruits and vegetables,eggs and products thereof,cookies
511,allergens,"soups, broths, sauces and condiments",eggs and products thereof,cookies
512,fraud,"soups, broths, sauces and condiments",eggs and products thereof,cookies
513,chemical,herbs and spices,listeria monocytogenes,ready to eat - cook meals
514,fraud,"meat, egg and dairy products",inspection issues,other not classified meat products
515,allergens,"meat, egg and dairy products",sulphur dioxide and sulphites,sausage
516,biological,"cocoa and cocoa preparations, coffee and tea",salmonella,ice cream
517,biological,"meat, egg and dairy products",listeria monocytogenes,sandwiches
518,allergens,confectionery,peanuts and products thereof,yoghurt
519,allergens,seafood,cereals containing gluten and products thereof,salmon
520,other hazard,"meat, egg and dairy products",listeria monocytogenes,chicken based products
521,biological,"dietetic foods, food supplements, fortified foods",salmonella,dietary supplement
522,allergens,confectionery,milk and products thereof,candies
523,biological,"meat, egg and dairy products",listeria monocytogenes,ham
524,chemical,"dietetic foods, food supplements, fortified foods",listeria monocytogenes,ready to eat - cook meals
525,allergens,herbs and spices,milk and products thereof,cookies
526,biological,herbs and spices,salmonella,ice cream
527,foreign bodies,"meat, egg and dairy products",plastic fragment,ground beef
528,biological,"meat, egg and dairy products",salmonella,eggs
529,biological,"meat, egg and dairy products",listeria monocytogenes,cheese
530,biological,"meat, egg and dairy products",listeria monocytogenes,thermal processed beef meat
531,biological,"meat, egg and dairy products",salmonella,eggs
532,biological,prepared dishes and snacks,listeria monocytogenes,sandwiches
533,biological,"meat, egg and dairy products",escherichia coli,raw beef meat
534,foreign bodies,"meat, egg and dairy products",metal fragment,yoghurt
535,allergens,"soups, broths, sauces and condiments",listeria monocytogenes,ice cream
536,allergens,"soups, broths, sauces and condiments",eggs and products thereof,salads
537,allergens,ices and desserts,milk and products thereof,ice cream
538,allergens,"soups, broths, sauces and condiments",milk and products thereof,soup
539,packaging defect,"cocoa and cocoa preparations, coffee and tea",milk and products thereof,cakes
540,allergens,"soups, broths, sauces and condiments",listeria monocytogenes,ice cream
541,biological,"meat, egg and dairy products",escherichia coli,cheese
542,fraud,prepared dishes and snacks,milk and products thereof,potato chips
543,allergens,cereals and bakery products,peanuts and products thereof,cookies
544,biological,fruits and vegetables,listeria monocytogenes,ready to eat - cook meals
545,biological,"cocoa and cocoa preparations, coffee and tea",listeria monocytogenes,ice cream
546,foreign bodies,"dietetic foods, food supplements, fortified foods",metal fragment,protein bar
547,biological,cereals and bakery products,listeria monocytogenes,ice cream
548,fraud,"meat, egg and dairy products",milk and products thereof,chicken based products
549,biological,fruits and vegetables,salmonella,ice cream
550,foreign bodies,"soups, broths, sauces and condiments",glass fragment,sauce
551,foreign bodies,cereals and bakery products,cereals containing gluten and products thereof,cakes
552,allergens,prepared dishes and snacks,milk and products thereof,crackers
553,chemical,cereals and bakery products,salmonella,cakes
554,allergens,"soups, broths, sauces and condiments",mustard and products thereof,chicken based products
555,fraud,"meat, egg and dairy products",inspection issues,other not classified meat products
556,fraud,fruits and vegetables,listeria monocytogenes,salads
557,biological,prepared dishes and snacks,listeria monocytogenes,salads
558,biological,prepared dishes and snacks,salmonella,sandwiches
559,biological,"meat, egg and dairy products",salmonella,chicken based products
560,allergens,"meat, egg and dairy products",salmonella,cakes
561,biological,prepared dishes and snacks,salmonella,ice cream
562,foreign bodies,sugars and syrups,metal fragment,ice cream
563,biological,fruits and vegetables,listeria monocytogenes,ready to eat - cook meals
564,foreign bodies,ices and desserts,salmonella,cakes
565,allergens,ices and desserts,peanuts and products thereof,ice cream
566,biological,"cocoa and cocoa preparations, coffee and tea",salmonella,ice cream
567,allergens,"meat, egg and dairy products",milk and products thereof,chicken based products
568,foreign bodies,fruits and vegetables,plastic fragment,fresh mushrooms
569,biological,"meat, egg and dairy products",escherichia coli,cheese
570,allergens,confectionery,eggs and products thereof,cakes
571,biological,"meat, egg and dairy products",eggs and products thereof,eggs
572,other hazard,non-alcoholic beverages,other,cakes
573,fraud,"meat, egg and dairy products",inspection issues,beef products
574,biological,"meat, egg and dairy products",listeria monocytogenes,sandwiches
575,biological,seafood,salmonella,oysters
576,foreign bodies,"meat, egg and dairy products",plastic fragment,dried beef meat
577,biological,"soups, broths, sauces and condiments",listeria monocytogenes,cheese
578,allergens,ices and desserts,milk and products thereof,desserts
579,allergens,confectionery,milk and products thereof,corn
580,biological,"nuts, nut products and seeds",salmonella,macadamia nuts
581,fraud,non-alcoholic beverages,glass fragment,ready to eat - cook meals
582,biological,fruits and vegetables,listeria monocytogenes,salads
583,foreign bodies,"cocoa and cocoa preparations, coffee and tea",plastic fragment,ice cream
584,allergens,"meat, egg and dairy products",mustard and products thereof,ham
585,allergens,cereals and bakery products,milk and products thereof,coconuts
586,biological,prepared dishes and snacks,listeria monocytogenes,other not classified meat products
587,chemical,herbs and spices,other,ice cream
588,biological,"nuts, nut products and seeds",salmonella,pistachio nuts
589,foreign bodies,"meat, egg and dairy products",plastic fragment,chicken based products
590,allergens,"dietetic foods, food supplements, fortified foods",milk and products thereof,cakes
591,allergens,"meat, egg and dairy products",soybeans and products thereof,chicken based products
592,biological,"meat, egg and dairy products",listeria monocytogenes,cheese
593,organoleptic aspects,"meat, egg and dairy products",listeria monocytogenes,other not classified meat products
594,biological,"meat, egg and dairy products",listeria monocytogenes,chicken based products
595,biological,other food product / mixed,salmonella,salmon
596,allergens,"cocoa and cocoa preparations, coffee and tea",milk and products thereof,dark chocolates
597,allergens,"dietetic foods, food supplements, fortified foods",milk and products thereof,cookies
598,foreign bodies,cereals and bakery products,plastic fragment,ice cream
599,other hazard,fruits and vegetables,salmonella,ready to eat - cook meals
600,allergens,"nuts, nut products and seeds",peanuts and products thereof,peanuts
601,food additives and flavourings,confectionery,milk and products thereof,jellies
602,biological,"meat, egg and dairy products",salmonella,turkey and turkey preparations
603,biological,fruits and vegetables,listeria monocytogenes,ready to eat - cook meals
604,biological,"nuts, nut products and seeds",listeria monocytogenes,sunflower seed
605,foreign bodies,cereals and bakery products,glass fragment,chicken based products
606,packaging defect,alcoholic beverages,salmonella,beer
607,foreign bodies,"meat, egg and dairy products",milk and products thereof,cakes
608,fraud,seafood,inspection issues,Catfishes (freshwater)
609,biological,"meat, egg and dairy products",salmonella,chicken based products
610,biological,cereals and bakery products,salmonella,chicken based products
611,allergens,cereals and bakery products,milk and products thereof,cookies
612,fraud,seafood,inspection issues,Catfishes (freshwater)
613,biological,"meat, egg and dairy products",salmonella,cakes
614,allergens,cereals and bakery products,milk and products thereof,cakes
615,allergens,"dietetic foods, food supplements, fortified foods",peanuts and products thereof,protein bar
616,other hazard,"meat, egg and dairy products",processing,chicken based products
617,allergens,"dietetic foods, food supplements, fortified foods",peanuts and products thereof,peanuts
618,allergens,"cocoa and cocoa preparations, coffee and tea",milk and products thereof,dark chocolates
619,foreign bodies,cereals and bakery products,glass fragment,ready to eat - cook meals
620,allergens,"soups, broths, sauces and condiments",milk and products thereof,cakes
621,chemical,fats and oils,salmonella,cakes
622,allergens,cereals and bakery products,listeria monocytogenes,ice cream
623,chemical,non-alcoholic beverages,other,cheese
624,foreign bodies,fruits and vegetables,metal fragment,ready to eat - cook meals
625,foreign bodies,"meat, egg and dairy products",plastic fragment,chicken based products
626,allergens,"cocoa and cocoa preparations, coffee and tea",milk and products thereof,cakes
627,fraud,seafood,inspection issues,Catfishes (freshwater)
628,allergens,"cocoa and cocoa preparations, coffee and tea",milk and products thereof,chocolate bars
629,allergens,"dietetic foods, food supplements, fortified foods",peanuts and products thereof,peanuts
630,allergens,confectionery,milk and products thereof,ready to eat - cook meals
631,foreign bodies,"meat, egg and dairy products",plastic fragment,chicken based products
632,biological,cereals and bakery products,salmonella,salmon
633,biological,"meat, egg and dairy products",salmonella,eggs
634,allergens,"nuts, nut products and seeds",milk and products thereof,cakes
635,allergens,prepared dishes and snacks,milk and products thereof,potato chips
636,other hazard,"meat, egg and dairy products",cereals containing gluten and products thereof,thermal processed pork meat
637,biological,"meat, egg and dairy products",salmonella,sausage
638,biological,"meat, egg and dairy products",escherichia coli,ground beef
639,biological,"meat, egg and dairy products",eggs and products thereof,eggs
640,allergens,"cocoa and cocoa preparations, coffee and tea",milk and products thereof,dark chocolates
641,foreign bodies,cereals and bakery products,plastic fragment,ice cream
642,foreign bodies,cereals and bakery products,milk and products thereof,cakes
643,biological,"cocoa and cocoa preparations, coffee and tea",salmonella,chicken based products
644,allergens,"dietetic foods, food supplements, fortified foods",cereals containing gluten and products thereof,cakes
645,fraud,"meat, egg and dairy products",soybeans and products thereof,pork sausage
646,foreign bodies,"meat, egg and dairy products",salmonella,turkey and turkey preparations
647,foreign bodies,other food product / mixed,metal fragment,ice cream
648,biological,fruits and vegetables,listeria monocytogenes,salads
649,foreign bodies,confectionery,metal fragment,ice cream
650,allergens,"meat, egg and dairy products",listeria monocytogenes,turkey and turkey preparations
651,biological,"meat, egg and dairy products",eggs and products thereof,eggs
652,biological,fruits and vegetables,salmonella,coconuts
653,foreign bodies,"soups, broths, sauces and condiments",plastic fragment,cheese
654,biological,"meat, egg and dairy products",listeria monocytogenes,cheese
655,foreign bodies,cereals and bakery products,plastic fragment,bread
656,allergens,cereals and bakery products,cereals containing gluten and products thereof,biscuits
657,allergens,"cocoa and cocoa preparations, coffee and tea",milk and products thereof,chocolate bars
658,allergens,prepared dishes and snacks,salmonella,potato chips
659,allergens,"dietetic foods, food supplements, fortified foods",peanuts and products thereof,peanuts
660,allergens,ices and desserts,peanuts and products thereof,ice cream
661,allergens,"cocoa and cocoa preparations, coffee and tea",almond,cakes
662,allergens,herbs and spices,eggs and products thereof,cakes
663,allergens,cereals and bakery products,milk and products thereof,ice cream
664,allergens,prepared dishes and snacks,soybeans and products thereof,thermal processed pork meat
665,allergens,cereals and bakery products,milk and products thereof,ice cream
666,chemical,seafood,milk and products thereof,Fishes not identified
667,biological,"meat, egg and dairy products",eggs and products thereof,eggs
668,fraud,prepared dishes and snacks,listeria monocytogenes,chicken based products
669,allergens,ices and desserts,peanuts and products thereof,ice cream
670,allergens,"cocoa and cocoa preparations, coffee and tea",sesame seeds and products thereof,cakes
671,biological,fruits and vegetables,listeria monocytogenes,salads
672,biological,seafood,salmonella,oysters
673,allergens,fruits and vegetables,sulphur dioxide and sulphites,ready to eat - cook meals
674,biological,seafood,salmonella,Fishes not identified
675,biological,"meat, egg and dairy products",listeria monocytogenes,cheese
676,foreign bodies,cereals and bakery products,plastic fragment,cookies
677,allergens,seafood,milk and products thereof,cakes
678,biological,fruits and vegetables,listeria monocytogenes,ice cream
679,allergens,"meat, egg and dairy products",milk and products thereof,beef products
680,allergens,seafood,eggs and products thereof,Fishes not identified
681,allergens,"meat, egg and dairy products",milk and products thereof,other not classified meat products
682,allergens,"cocoa and cocoa preparations, coffee and tea",milk and products thereof,dark chocolates
683,biological,seafood,listeria monocytogenes,Fishes not identified
684,chemical,non-alcoholic beverages,other,cheese
685,other hazard,"meat, egg and dairy products",processing,chicken based products
686,foreign bodies,herbs and spices,plastic fragment,chicken based products
687,allergens,"soups, broths, sauces and condiments",milk and products thereof,chicken based products
688,biological,confectionery,other,ice cream
689,biological,"cocoa and cocoa preparations, coffee and tea",salmonella,ice cream
690,biological,"meat, egg and dairy products",listeria monocytogenes,salads
691,biological,prepared dishes and snacks,listeria monocytogenes,ready to eat - cook meals
692,biological,"meat, egg and dairy products",escherichia coli,raw beef meat
693,biological,"meat, egg and dairy products",listeria monocytogenes,salads
694,biological,"meat, egg and dairy products",escherichia coli,raw beef meat
695,biological,prepared dishes and snacks,listeria monocytogenes,sandwiches
696,foreign bodies,ices and desserts,plastic fragment,ice cream
697,biological,"meat, egg and dairy products",listeria monocytogenes,ice cream
698,biological,"meat, egg and dairy products",escherichia coli,raw beef meat
699,biological,"meat, egg and dairy products",escherichia coli,raw beef meat
700,fraud,"meat, egg and dairy products",cereals containing gluten and products thereof,pork sausage
701,foreign bodies,"meat, egg and dairy products",plastic fragment,chicken based products
702,biological,"meat, egg and dairy products",escherichia coli,raw beef meat
703,allergens,"meat, egg and dairy products",milk and products thereof,chicken based products
704,biological,prepared dishes and snacks,salmonella,ready to eat - cook meals
705,allergens,"soups, broths, sauces and condiments",peanuts and products thereof,peanuts
706,biological,"meat, egg and dairy products",metal fragment,infant formula
707,foreign bodies,"meat, egg and dairy products",plastic fragment,chicken based products
708,biological,"meat, egg and dairy products",escherichia coli,raw beef meat
709,biological,fruits and vegetables,salmonella,chocolate products
710,organoleptic aspects,"soups, broths, sauces and condiments",salmonella,cakes
711,fraud,"meat, egg and dairy products",cereals containing gluten and products thereof,chicken based products
712,biological,fruits and vegetables,salmonella,cakes
713,foreign bodies,"meat, egg and dairy products",plastic fragment,chicken based products
714,biological,"meat, egg and dairy products",escherichia coli,raw beef meat
715,biological,"meat, egg and dairy products",listeria monocytogenes,salads
716,fraud,seafood,inspection issues,Catfishes (freshwater)
717,allergens,"soups, broths, sauces and condiments",cereals containing gluten and products thereof,ice cream
718,allergens,"meat, egg and dairy products",soybeans and products thereof,chicken based products
719,allergens,cereals and bakery products,cereals containing gluten and products thereof,cakes
720,biological,"meat, egg and dairy products",salmonella,ground beef
721,biological,"meat, egg and dairy products",salmonella,sausage
722,biological,"meat, egg and dairy products",escherichia coli,pistachio nuts
723,allergens,cereals and bakery products,milk and products thereof,cakes
724,biological,"meat, egg and dairy products",listeria monocytogenes,chicken based products
725,allergens,"cocoa and cocoa preparations, coffee and tea",milk and products thereof,ice cream
726,biological,prepared dishes and snacks,listeria monocytogenes,salads
727,biological,"meat, egg and dairy products",salmonella,peanuts
728,biological,"meat, egg and dairy products",listeria monocytogenes,peanuts
729,biological,prepared dishes and snacks,milk and products thereof,potato chips
730,allergens,cereals and bakery products,peanuts and products thereof,cookies
731,allergens,"cocoa and cocoa preparations, coffee and tea",milk and products thereof,ice cream
732,foreign bodies,fats and oils,plastic fragment,ready to eat - cook meals
733,chemical,"meat, egg and dairy products",salmonella,other not classified meat products
734,packaging defect,"soups, broths, sauces and condiments",salmonella,ready to eat - cook meals
735,allergens,cereals and bakery products,peanuts and products thereof,peanuts
736,biological,"meat, egg and dairy products",metal fragment,sausage
737,chemical,"meat, egg and dairy products",milk and products thereof,milk
738,allergens,prepared dishes and snacks,soybeans and products thereof,sandwiches
739,allergens,"soups, broths, sauces and condiments",mustard and products thereof,soup
740,fraud,seafood,milk and products thereof,chicken based products
741,allergens,"meat, egg and dairy products",milk and products thereof,chicken based products
742,allergens,"soups, broths, sauces and condiments",peanuts and products thereof,ready to eat - cook meals
743,biological,non-alcoholic beverages,listeria monocytogenes,ice cream
744,foreign bodies,fruits and vegetables,plastic fragment,ready to eat - cook meals
745,allergens,seafood,eggs and products thereof,Fishes not identified
746,biological,seafood,salmonella,ready to eat - cook meals
747,allergens,"soups, broths, sauces and condiments",peanuts and products thereof,cakes
748,allergens,"cocoa and cocoa preparations, coffee and tea",milk and products thereof,dark chocolates
749,biological,fruits and vegetables,salmonella,alfalfa sprouts
750,allergens,prepared dishes and snacks,milk and products thereof,noodles
751,chemical,seafood,salmonella,tuna
752,allergens,fruits and vegetables,milk and products thereof,salads
753,allergens,seafood,cereals containing gluten and products thereof,salmon
754,allergens,confectionery,milk and products thereof,ice cream
755,allergens,prepared dishes and snacks,milk and products thereof,spring rolls
756,allergens,cereals and bakery products,soybeans and products thereof,cakes
757,allergens,cereals and bakery products,milk and products thereof,bread
758,allergens,"soups, broths, sauces and condiments",peanuts and products thereof,cakes
759,foreign bodies,prepared dishes and snacks,plastic fragment,chicken based products
760,allergens,"nuts, nut products and seeds",peanuts and products thereof,peanuts
761,biological,"meat, egg and dairy products",escherichia coli,ready to eat - cook meals
762,biological,fruits and vegetables,listeria monocytogenes,fresh mushrooms
763,biological,prepared dishes and snacks,salmonella,chicken based products
764,packaging defect,"nuts, nut products and seeds",listeria monocytogenes,cheese
765,allergens,cereals and bakery products,milk and products thereof,cookies
766,foreign bodies,ices and desserts,metal fragment,ice cream
767,biological,prepared dishes and snacks,escherichia coli,ground beef
768,allergens,"soups, broths, sauces and condiments",salmonella,cakes
769,fraud,"meat, egg and dairy products",listeria monocytogenes,other not classified meat products
770,allergens,"soups, broths, sauces and condiments",milk and products thereof,ready to eat - cook meals
771,allergens,prepared dishes and snacks,milk and products thereof,ready to eat - cook meals
772,allergens,"soups, broths, sauces and condiments",milk and products thereof,cakes
773,biological,"meat, egg and dairy products",escherichia coli,ground beef
774,biological,fruits and vegetables,escherichia coli,ground beef
775,allergens,ices and desserts,milk and products thereof,cookies
776,biological,seafood,listeria monocytogenes,salmon
777,allergens,"soups, broths, sauces and condiments",milk and products thereof,ready to eat - cook meals
778,biological,"meat, egg and dairy products",listeria monocytogenes,cheese
779,allergens,"nuts, nut products and seeds",almond,cakes
780,allergens,cereals and bakery products,eggs and products thereof,cookies
781,fraud,"meat, egg and dairy products",inspection issues,other not classified meat products
782,biological,fruits and vegetables,salmonella,onions
783,allergens,fruits and vegetables,milk and products thereof,ready to eat - cook meals
784,biological,"meat, egg and dairy products",listeria monocytogenes,chicken based products
785,biological,fruits and vegetables,listeria monocytogenes,ice cream
786,allergens,fruits and vegetables,sulphur dioxide and sulphites,ice cream
787,other hazard,confectionery,salmonella,jellies
788,allergens,"soups, broths, sauces and condiments",soybeans and products thereof,soup
789,allergens,non-alcoholic beverages,milk and products thereof,milk
790,allergens,cereals and bakery products,milk and products thereof,cakes
791,allergens,"meat, egg and dairy products",soybeans and products thereof,thermal processed pork meat
792,allergens,confectionery,peanuts and products thereof,milk
793,allergens,"dietetic foods, food supplements, fortified foods",soybeans and products thereof,cakes
794,allergens,cereals and bakery products,milk and products thereof,ready to eat - cook meals
795,biological,"meat, egg and dairy products",listeria monocytogenes,chicken based products
796,allergens,"meat, egg and dairy products",cereals containing gluten and products thereof,cookies
797,foreign bodies,cereals and bakery products,glass fragment,corn
798,foreign bodies,cereals and bakery products,glass fragment,corn
799,biological,seafood,listeria monocytogenes,salmon
800,allergens,"meat, egg and dairy products",cereals containing gluten and products thereof,chicken based products
801,organoleptic aspects,"soups, broths, sauces and condiments",milk and products thereof,soup
802,foreign bodies,"meat, egg and dairy products",plastic fragment,ground beef
803,allergens,"meat, egg and dairy products",mustard and products thereof,ready to eat - cook meals
804,fraud,food additives and flavourings,milk and products thereof,cakes
805,biological,fruits and vegetables,listeria monocytogenes,ice cream
806,allergens,prepared dishes and snacks,eggs and products thereof,ready to eat - cook meals
807,food additives and flavourings,confectionery,salmonella,jellies
808,foreign bodies,cereals and bakery products,metal fragment,cakes
809,biological,seafood,salmonella,ready to eat - cook meals
810,biological,herbs and spices,listeria monocytogenes,ready to eat - cook meals
811,fraud,"meat, egg and dairy products",cereals containing gluten and products thereof,chicken based products
812,biological,"meat, egg and dairy products",listeria monocytogenes,cheese
813,allergens,cereals and bakery products,cereals containing gluten and products thereof,cakes
814,allergens,"soups, broths, sauces and condiments",sulphur dioxide,ready to eat - cook meals
815,biological,"meat, egg and dairy products",escherichia coli,cheese
816,other hazard,alcoholic beverages,milk and products thereof,beer
817,foreign bodies,"dietetic foods, food supplements, fortified foods",plastic fragment,ice cream
818,chemical,"dietetic foods, food supplements, fortified foods",milk and products thereof,cakes
819,biological,prepared dishes and snacks,salmonella,other not classified meat products
820,allergens,fruits and vegetables,sulphur dioxide and sulphites,cakes
821,allergens,"meat, egg and dairy products",almond,cakes
822,chemical,cereals and bakery products,unauthorised substance ethylene oxide,ice cream
823,chemical,"nuts, nut products and seeds",unauthorised substance ethylene oxide,tahini
824,biological,fruits and vegetables,listeria monocytogenes,ice cream
825,allergens,cereals and bakery products,milk and products thereof,cakes
826,fraud,fruits and vegetables,sulphur dioxide,dates
827,chemical,fruits and vegetables,metal fragment,chicken based products
828,fraud,"meat, egg and dairy products",inspection issues,other not classified meat products
829,allergens,"nuts, nut products and seeds",peanuts and products thereof,cakes
830,allergens,ices and desserts,milk and products thereof,ice cream
831,allergens,"soups, broths, sauces and condiments",eggs and products thereof,soup
832,foreign bodies,"meat, egg and dairy products",plastic fragment,pork sausage
833,chemical,cereals and bakery products,unauthorised substance ethylene oxide,ice cream
834,biological,seafood,salmonella,chicken based products
835,allergens,cereals and bakery products,soybeans and products thereof,cakes
836,allergens,seafood,eggs and products thereof,Fishes not identified
837,allergens,cereals and bakery products,milk and products thereof,cakes
838,foreign bodies,fruits and vegetables,glass fragment,chicken based products
839,chemical,seafood,unauthorised substance ethylene oxide,ice cream
840,allergens,fruits and vegetables,milk and products thereof,salads
841,organoleptic aspects,"cocoa and cocoa preparations, coffee and tea",listeria monocytogenes,ready to eat - cook meals
842,biological,"meat, egg and dairy products",escherichia coli,ground beef
843,allergens,"soups, broths, sauces and condiments",salmonella,pistachio nuts
844,packaging defect,fruits and vegetables,listeria monocytogenes,ice cream
845,allergens,prepared dishes and snacks,milk and products thereof,salads
846,allergens,fruits and vegetables,eggs and products thereof,cookies
847,fraud,"dietetic foods, food supplements, fortified foods",milk and products thereof,ready to eat - cook meals
848,allergens,cereals and bakery products,almond,muesli
849,chemical,"cocoa and cocoa preparations, coffee and tea",salmonella,ready to eat - cook meals
850,allergens,"meat, egg and dairy products",soybeans and products thereof,other not classified meat products
851,allergens,cereals and bakery products,listeria monocytogenes,biscuits
852,biological,"meat, egg and dairy products",salmonella,chicken based products
853,chemical,seafood,salmonella,cakes
854,allergens,confectionery,listeria monocytogenes,ice cream
855,allergens,"cocoa and cocoa preparations, coffee and tea",milk and products thereof,chocolate bars
856,allergens,cereals and bakery products,milk and products thereof,cookies
857,chemical,fruits and vegetables,high content of cyanide,apricot kernels
858,fraud,"soups, broths, sauces and condiments",other,precooked cooked beef meat products
859,allergens,fruits and vegetables,sulphur dioxide and sulphites,cakes
860,biological,fruits and vegetables,listeria monocytogenes,ice cream
861,allergens,cereals and bakery products,milk and products thereof,cookies
862,biological,seafood,clostridium botulinum,salmon
863,foreign bodies,"meat, egg and dairy products",plastic fragment,ground beef
864,allergens,"dietetic foods, food supplements, fortified foods",milk and products thereof,dietary supplement
865,biological,"meat, egg and dairy products",salmonella,turkey and turkey preparations
866,biological,fruits and vegetables,salmonella,ready to eat - cook meals
867,allergens,cereals and bakery products,plastic fragment,pizza
868,allergens,"nuts, nut products and seeds",peanuts and products thereof,peanuts
869,allergens,"nuts, nut products and seeds",peanuts and products thereof,peanuts
870,biological,cereals and bakery products,milk and products thereof,cakes
871,biological,"meat, egg and dairy products",salmonella,ice cream
872,fraud,"cocoa and cocoa preparations, coffee and tea",salmonella,ready to eat - cook meals
873,allergens,prepared dishes and snacks,milk and products thereof,potato chips
874,allergens,"cocoa and cocoa preparations, coffee and tea",milk and products thereof,chocolate bars
875,allergens,"nuts, nut products and seeds",peanuts and products thereof,peanuts
876,allergens,cereals and bakery products,milk and products thereof,bread
877,allergens,prepared dishes and snacks,milk and products thereof,ready to eat - cook meals
878,allergens,cereals and bakery products,milk and products thereof,ready to eat - cook meals
879,allergens,prepared dishes and snacks,listeria monocytogenes,chicken based products
880,allergens,cereals and bakery products,milk and products thereof,corn
881,allergens,prepared dishes and snacks,milk and products thereof,ready to eat - cook meals
882,biological,fruits and vegetables,listeria monocytogenes,fresh mushrooms
883,biological,herbs and spices,salmonella,ice cream
884,allergens,"nuts, nut products and seeds",salmonella,cakes
885,biological,pet feed,salmonella,pet feed
886,allergens,fruits and vegetables,sulphur dioxide and sulphites,cakes
887,biological,seafood,listeria monocytogenes,shrimps
888,allergens,prepared dishes and snacks,cereals containing gluten and products thereof,cakes
889,allergens,ices and desserts,cereals containing gluten and products thereof,ice cream
890,allergens,"soups, broths, sauces and condiments",eggs and products thereof,ready to eat - cook meals
891,allergens,fruits and vegetables,sesame seeds and products thereof,cakes
892,chemical,"meat, egg and dairy products",other,cheese
893,allergens,prepared dishes and snacks,cereals containing gluten and products thereof,cakes
894,other hazard,confectionery,other not classified,jellies
895,biological,"meat, egg and dairy products",listeria monocytogenes,cheese
896,biological,fruits and vegetables,listeria monocytogenes,salads
897,biological,herbs and spices,salmonella,ice cream
898,chemical,pet feed,other,ice cream
899,allergens,prepared dishes and snacks,milk and products thereof,potato chips
900,allergens,seafood,milk and products thereof,bread
901,biological,"meat, egg and dairy products",listeria monocytogenes,cheese
902,chemical,"dietetic foods, food supplements, fortified foods",unauthorised substance ethylene oxide,ice cream
903,allergens,cereals and bakery products,peanuts and products thereof,cookies
904,biological,fruits and vegetables,listeria monocytogenes,salads
905,biological,cereals and bakery products,listeria monocytogenes,ice cream
906,chemical,"dietetic foods, food supplements, fortified foods",unauthorised substance ethylene oxide,sesame seeds
